city,State_name,State_ab,ALand,AWater,Median,Stdev
La Fargeville,New York,NY,25439637,0,69871,131320.1716
La Feria,Texas,TX,4045539.5,78735,152639,20132.00089
La Grange,Illinois,IL,7737812.333,15499,129983.6667,137002.7132
La Grange Highlands,Illinois,IL,2409366,20705,203643,190973.7522
La Habra,California,CA,15952989,4740,239985,210882.2624
La Harpe,Illinois,IL,3531469,0,78179,88255.56165
La Junta,Colorado,CO,7811235,15242,69893,98461.53407
La Marque,Texas,TX,18446448.5,606444,131111,136146.3297
La Mesa,California,CA,16396626,946308.5,103312,126078.2117
La Mirada,California,CA,20259097,44465,140730,156898.212
La Monte,Missouri,MO,2927254,30867,67718,66782.42665
La Palma,California,CA,4619069,61057,174975,176604.227
La Plata,Missouri,MO,592826,2354.5,59781,56269.92906
La Porte,Colorado,CO,22153083.67,1331294,65626.33333,102945.4046
La Porte City,Iowa,IA,6613462,170402,95634,121878.4048
La Pryor,Texas,TX,6913586,4961,77445,128266.1916
La Puente,California,CA,4841010,2059,103516,124449.2295
La Quinta,California,CA,37094112,699456,236328,209426.1833
La Rue,Ohio,OH,1238118,0,64419,9167.088963
La Salle,Colorado,CO,4402731.333,9357.333333,106681,105653.1001
La Selva Beach,California,CA,13718837,0,216199,198431.2464
La Valle,Wisconsin,WI,862625,6533,75118,69659.19774
La Vernia,Texas,TX,76761235,685216,131717,121235.1833
La Veta,Colorado,CO,3539235,0,44172,51810.92336
La Villa,Texas,TX,5886967,0,38847,36396.83195
La Vista,Texas,TX,16301580,3086298,237963,202484.8149
Labelle,Florida,FL,38047204.5,14840.5,75839,88805.68525
Lacassine,Louisiana,LA,4532328,0,300000,81366.9016
Lacey,Washington,WA,41841891,1209455,89672,104353.4992
Lacoste,Texas,TX,1633634,3799,89528,121362.2356
Lacrosse,Washington,WA,2213130,0,129831,170309.4564
Lacygne,Kansas,KS,7032999,636246,82943,123022.7808
Ladd,Illinois,IL,2163879.5,19069,89334,110271.2373
Laddonia,Missouri,MO,691814,0,80241,110817.4156
Ladera Ranch,California,CA,12539189,0,246959,218040.653
Ladoga,Indiana,IN,1387675,0,71086,69407.98445
Ladonia,Texas,TX,5156090,0,62749,65904.47511
Ladson,South Carolina,SC,18189478,0,88636,104543.8068
Ladue,Missouri,MO,7439460,0,257232,227908.8948
Lady Lake,Florida,FL,21188221,745652,65528,88985.91547
Lafayette,Indiana,IN,23446593.09,78167.54545,126454.1818,106940.0977
Lafollette,Tennessee,TN,9460981,0,63265,54793.29985
Lafontaine,Indiana,IN,4891557.5,13626.5,186967.5,72042.50608
Lagrange,Indiana,IN,7006668,80380.5,85892,95632.5096
